reg,seg_id,sen_id,word_id,POS,token,words_label,words_gloss,type,subtype,sentence
news,news_01_v.4,0007,32,v,起,mrw,开始;开端,indir,conv,教学副校长陈泰坤见周彤执花向校领导奔来，赶紧说：＂快把鲜花给妈妈呀，从你呀呀学语起，妈妈这乘车走路的空都不放过，见缝插针地编儿歌教你、鲜花应属于你妈妈。＂
news,news_01_v.4,0007,39,n,空,mrw,"闲暇,闲功夫,没被占用的时间",indir,conv,教学副校长陈泰坤见周彤执花向校领导奔来，赶紧说：＂快把鲜花给妈妈呀，从你呀呀学语起，妈妈这乘车走路的空都不放过，见缝插针地编儿歌教你、鲜花应属于你妈妈。＂
news,news_01_v.4,0007,42,v,放过,mrw,犹放弃,indir,cont,教学副校长陈泰坤见周彤执花向校领导奔来，赶紧说：＂快把鲜花给妈妈呀，从你呀呀学语起，妈妈这乘车走路的空都不放过，见缝插针地编儿歌教你、鲜花应属于你妈妈。＂
news,news_01_v.4,0007,46,v,编,mrw,编辑;创作,indir,conv,教学副校长陈泰坤见周彤执花向校领导奔来，赶紧说：＂快把鲜花给妈妈呀，从你呀呀学语起，妈妈这乘车走路的空都不放过，见缝插针地编儿歌教你、鲜花应属于你妈妈。＂
news,news_01_v.4,0009,14,v,培养,mrw,按照一定的目的，长期教育训练,indir,conv,还到处跑书店为你买书，鲜花应属于苦心培养你的老师。＂
news,news_01_v.4,0010,9,a,大,mrw,超过一般,indir,conv,钱老师连连摆手：＂论苦心大是周彤，为迎接竞赛做题三千多道，草稿纸堆起来只怕比他人还高。＂
news,news_01_v.4,0010,15,v,迎接,mrw,比喻作好准备，等候某一情况的发生或时节的到来,indir,conv,钱老师连连摆手：＂论苦心大是周彤，为迎接竞赛做题三千多道，草稿纸堆起来只怕比他人还高。＂
news,news_01_v.4,0010,17,v,做,mrw,作。从事某种工作或活动,indir,conv,钱老师连连摆手：＂论苦心大是周彤，为迎接竞赛做题三千多道，草稿纸堆起来只怕比他人还高。＂
news,news_01_v.4,0012,32,n,母亲,mrw,比喻养育人的某一群体或事物,indir,cont,此语使周彤默然想起中午省科委领导说的话：＂在这种时刻，你们要想到自己的母亲，更要想到祖国母亲。＂
news,news_01_v.4,0014,11,n,王子,mrw,天子或王的儿子,indir,cont,没被国际竞赛的数学难题难倒的数学王子竟被眼前这道题难住了。
news,news_01_v.4,0014,17,n,题,mrw,题目;标题,indir,cont,没被国际竞赛的数学难题难倒的数学王子竟被眼前这道题难住了。
news,news_01_v.4,0014,19,v,住,mrw,表示停止或静上,indir,conv,没被国际竞赛的数学难题难倒的数学王子竟被眼前这道题难住了。
news,news_01_v.4,0016,14,vg,凝,mrw,停止;静止,indir,cont,喀嚓一声，银光一闪，这一历史瞬间永远凝住了。
news,news_01_v.4,0016,15,v,住,mrw,表示停止或静上,indir,conv,喀嚓一声，银光一闪，这一历史瞬间永远凝住了。
news,news_02_v.4,0045,18,v,传来,mrw,,indir,conv,前天下午５时１５分，朗阳区六里屯住宅区里，一阵孩子的哭喊声从高空传来。
news,news_02_v.4,0049,2,a,小,mrw,通“少”。年幼,indir,conv,这个小男孩名叫刘帅，住在１５层６单元，当时他妈妈出门倒垃圾，一阵风把单元门撞上，屋里只剩下小刘帅一人，焦急万分的妈妈一边敲门一边喊：＂你在屋里等着，我去姥姥家取钥匙，千万别动弹！＂
news,news_02_v.4,0049,28,v,上,mrw,用在动词后。表示动作的趋向或结果等,indir,conv,这个小男孩名叫刘帅，住在１５层６单元，当时他妈妈出门倒垃圾，一阵风把单元门撞上，屋里只剩下小刘帅一人，焦急万分的妈妈一边敲门一边喊：＂你在屋里等着，我去姥姥家取钥匙，千万别动弹！＂
