No,docid,reg,postype,wordcat,wid,wcorresp,wstatus,lemma,word,metaphor,id,corresp,status,morph,order,type,mettext,DELMET,delmetadditionalinfo,nonmrw_mrw,eight_word_classes,register,widlii,del_nondel_widlii,six_word_classes,sid,pnum,snum,sindex,windex,wcount,scount,plen,slen,sentence_id,sentence
4428,a1j-fragment33,news,NN1,N,-,-,-,machinery,machinery,mrw,-,-,-,n,-,met,machinery,1,,1,4,4,0,1,3,494,1,1,1,13,822,39,1,13,a1j-fragment33_1,The Labour Party Conference: Policy review throws a spanner in the Whitehall machinery
4428,a1j-fragment33,news,PRP,PR,-,-,-,in,in,mrw,-,-,-,n,-,met,in,1,,1,5,4,0,1,5,494,1,1,1,10,822,39,1,13,a1j-fragment33_1,The Labour Party Conference: Policy review throws a spanner in the Whitehall machinery
4428,a1j-fragment33,news,NN1,N,-,-,-,spanner,spanner,mrw,-,-,-,n,-,met,spanner,1,,1,4,4,0,1,3,494,1,1,1,9,822,39,1,13,a1j-fragment33_1,The Labour Party Conference: Policy review throws a spanner in the Whitehall machinery
4428,a1j-fragment33,news,VVZ,V,-,-,-,throw,throws,mrw,-,-,-,n,-,met,throws,1,,1,6,4,0,1,4,494,1,1,1,7,822,39,1,13,a1j-fragment33_1,The Labour Party Conference: Policy review throws a spanner in the Whitehall machinery
4441,a1j-fragment33,news,AJ0,AJ,-,-,-,incoming,INCOMING,mrw,-,-,-,n,-,met,INCOMING,0,,1,1,4,0,0,1,496,3,3,1,2,822,39,1,28,a1j-fragment33_3,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party's policy review barely considers the implications of its plans for restructuring government departments.
4445,a1j-fragment33,news,VVI,V,-,-,-,turn,turn,mrw,-,-,-,n,-,met,turn,0,,1,6,4,0,0,4,496,3,3,1,6,822,39,1,28,a1j-fragment33_3,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party's policy review barely considers the implications of its plans for restructuring government departments.
4450,a1j-fragment33,news,AV0,AV,-,-,-,upside down,upside down,mrw,-,-,-,n,-,met,upside down,0,,1,2,4,0,0,2,496,3,3,1,11,822,39,1,28,a1j-fragment33_3,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party's policy review barely considers the implications of its plans for restructuring government departments.
4458,a1j-fragment33,news,VVZ,V,-,-,-,consider,considers,mrw,-,-,double,n,-,met,considers,0,,1,6,4,0,0,4,496,3,3,1,19,822,39,1,28,a1j-fragment33_3,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party's policy review barely considers the implications of its plans for restructuring government departments.
4463,a1j-fragment33,news,NN2,N,-,-,-,plan,plans,mrw,-,-,-,n,-,met,plans,0,,1,4,4,0,0,3,496,3,3,1,24,822,39,1,28,a1j-fragment33_3,AN INCOMING Labour government would turn large areas of Whitehall upside down — but the party's policy review barely considers the implications of its plans for restructuring government departments.
4468,a1j-fragment33,news,VVN-AJ0,V,-,-,-,scatter,Scattered,mrw,-,-,-,n,-,met,Scattered,1,,1,6,4,0,1,4,497,4,4,1,1,822,39,1,64,a1j-fragment33_4,"Scattered through the policy review are proposals to: Drastically alter the status and organisation of the Department of Trade and Industry; Create two departments — a Department of Consumer Affairs, and a Department for Legal Administration; Create a Department of Environmental Protection within the existing Department of the Environment; Set up a plethora of new commissions and executive agencies; Set up a Women 's Ministry."
4469,a1j-fragment33,news,PRP,PR,-,-,-,through,through,mrw,-,-,-,n,-,met,through,0,,1,5,4,0,0,5,497,4,4,1,2,822,39,1,64,a1j-fragment33_4,"Scattered through the policy review are proposals to: Drastically alter the status and organisation of the Department of Trade and Industry; Create two departments — a Department of Consumer Affairs, and a Department for Legal Administration; Create a Department of Environmental Protection within the existing Department of the Environment; Set up a plethora of new commissions and executive agencies; Set up a Women 's Ministry."
4479,a1j-fragment33,news,NN1,N,-,-,-,status,status,mrw,-,-,PP,n,-,met,status,0,,1,4,4,0,0,3,497,4,4,1,12,822,39,1,64,a1j-fragment33_4,"Scattered through the policy review are proposals to: Drastically alter the status and organisation of the Department of Trade and Industry; Create two departments — a Department of Consumer Affairs, and a Department for Legal Administration; Create a Department of Environmental Protection within the existing Department of the Environment; Set up a plethora of new commissions and executive agencies; Set up a Women 's Ministry."
4509,a1j-fragment33,news,PRP,PR,-,-,-,within,within,mrw,-,-,WIDLII,n,-,met,within,0,,1,5,4,0,0,5,497,4,4,1,42,822,39,1,64,a1j-fragment33_4,"Scattered through the policy review are proposals to: Drastically alter the status and organisation of the Department of Trade and Industry; Create two departments — a Department of Consumer Affairs, and a Department for Legal Administration; Create a Department of Environmental Protection within the existing Department of the Environment; Set up a plethora of new commissions and executive agencies; Set up a Women 's Ministry."
4516,a1j-fragment33,news,VVB + AVP,V + AV,-,-,-,set + up,Set + up,mrw,a1j-fragment33-pv1,a1j-fragment33-pv1,-,n,-,met,Set up,0,,1,6,4,0,0,4,497,4,4,1,49,822,39,1,64,a1j-fragment33_4,"Scattered through the policy review are proposals to: Drastically alter the status and organisation of the Department of Trade and Industry; Create two departments — a Department of Consumer Affairs, and a Department for Legal Administration; Create a Department of Environmental Protection within the existing Department of the Environment; Set up a plethora of new commissions and executive agencies; Set up a Women 's Ministry."
4526,a1j-fragment33,news,VVB + AVP,V + AV,-,-,-,set + up,Set + up,mrw,a1j-fragment33-pv2,a1j-fragment33-pv2,-,n,-,met,Set up,0,,1,6,4,0,0,4,497,4,4,1,59,822,39,1,64,a1j-fragment33_4,"Scattered through the policy review are proposals to: Drastically alter the status and organisation of the Department of Trade and Industry; Create two departments — a Department of Consumer Affairs, and a Department for Legal Administration; Create a Department of Environmental Protection within the existing Department of the Environment; Set up a plethora of new commissions and executive agencies; Set up a Women 's Ministry."
4532,a1j-fragment33,news,DT0,DT,-,-,-,those,Those,mrw,-,-,-,n,-,met,Those,0,,1,3,4,0,0,6,498,5,5,1,1,822,39,2,12,a1j-fragment33_5,Those are only the most overt changes advocated in the review papers.
4540,a1j-fragment33,news,PRP,PR,-,-,-,in,in,mrw,-,-,-,n,-,met,in,0,,1,5,4,0,0,5,498,5,5,1,9,822,39,2,12,a1j-fragment33_5,Those are only the most overt changes advocated in the review papers.
4549,a1j-fragment33,news,VVZ,V,-,-,-,escape,escapes,mrw,-,-,-,n,-,met,escapes,0,,1,6,4,0,0,4,499,5,6,2,6,822,39,2,21,a1j-fragment33_6,The only department which explicitly escapes unscathed is the one which Conservatives would most like to abolish: the Department of Energy.
